title,original_title,overview,release_date
Inception,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-15
Meteor Apocalypse,Meteor Apocalypse,"A gigantic meteors enters Earth's orbit and begins to disintegrate, showering the entire planet with debris.",2010-02-23
Predators,Predators,A group of cold-blooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial Predators.,2010-07-07
Exorcismus,Exorcismus,"Fifteen-year-old Emma Evans is like any other teenage girl; she thinks that her parents don't understand her. She longs for independence and a life free of family ties and responsibilities and she is prepared to do anything to achieve it. But one day she will be forced to face up to the consequences of her actions.Life seems to be carrying on as normal, until one day Emma starts experiencing frightening fits. Her parents are convinced that her problems are either medical or psychological, but when doctors' tests are unable to draw any conclusions, the family is forced to look elsewhere for answers.It all started off as a bit of fun, Emma never really believed it, but the truth is there is something dark and sinister within her, and it won't take long to surface.",2010-12-29
The Town,The Town,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",2010-09-15
Conviction,Conviction,"When Betty Anne Waters' older brother Kenny is arrested for murder and sentenced to life in 1983, Betty Anne, a Massachusetts wife and mother of two, dedicates her life to overturning the murder conviction. Convinced that her brother is innocent, Betty Anne puts herself through high school, college and, finally, law school in an 18 year quest to free Kenny. With the help of best friend Abra Rice, Betty Anne pores through suspicious evidence mounted by small town cop Nancy Taylor, meticulously retracing the steps that led to Kenny's arrest. Belief in her brother - and her quest for the truth - pushes Betty Anne and her team to uncover the facts and utilize DNA evidence with the hope of exonerating Kenny.",2010-10-15
The Expendables,The Expendables,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert Yin Yang, heavy weapons specialist Hale Caesar, demolitionist Toll Road, and a loose-cannon sniper Gunner Jensen. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",2010-08-07
Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",2010-11-17
Nanga Parbat,Nanga Parbat,"Drama about the tragic Nanga Parbat expedition by the two Messner brothers in 1970, on which Reinhold Messners younger brother Günther died.",2010-01-14
Iron Man 2,Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",2010-04-28
Mega Piranha,Mega Piranha,"When a science experiment goes horribly wrong, gigantic fish gain appetites for human flesh.",2010-04-10
Toy Story 3,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",2010-06-16
Atmosphere,Atmósfera,"Cecilia, Alberto, and Felipe live through a strange epidemic that plagues the abandoned streets of a coastal town. Suddenly, an uncontrollable desire forces them to leave in search of the sea.",2010-03-10
The Crazies,The Crazies,Four friends find themselves trapped in their small hometown after they discover their friends and neighbors going quickly and horrifically insane.,2010-02-26
The Silence,Das letzte Schweigen,13-year-old Sinikka vanishes on a hot summer night. Her bicycle is found in the exact place where a girl was killed 23 years ago. The dramatic present forces those involved in the original case to face their past.,2010-08-13
The Way,The Way,"When his son dies while hiking the famed Camino de Santiago pilgrimage route in the Pyrenees, Tom flies to France to claim the remains. Looking for insights into his estranged child’s life, he decides to complete the 500-mile mountain trek to Spain. Tom soon joins up with other travelers and realizes they’re all searching for something.",2010-09-10
Sherlock Holmes,Sherlock Holmes,Sherlock Holmes and Watson are on the trail of a criminal and scientific mastermind who seems to control monsters and creations which defy belief.,2010-01-26
Catfish,Catfish,"Nev, a 24-year-old New York-based photographer, has no idea what he's in for when Abby, an eight-year-old girl from rural Michigan, contacts him on Facebook, seeking permission to paint one of his photographs. When he receives her remarkable painting, Nev begins a friendship and correspondence with Abby's family. But things really get interesting when he develops a cyber-romance with Abby's attractive older sister, Megan, a musician and model. Prompted by some startling revelations about Megan, Nev and his buddies embark on a road trip in search of the truth.",2010-09-17
The Switch,The Switch,"Kassie is a smart, fun-loving single woman who, despite her neurotic best friend Wally’s objections, decides it’s time to have a baby – even if it means doing it herself… with a little help from a charming sperm donor. But, unbeknownst to her, Kassie’s plans go awry because of a last-minute switch that isn’t discovered until seven years later… when Wally gets acquainted with Kassie’s cute, though slightly neurotic, son.",2010-05-11
Breakdance Academy,Breakdance Academy,"In this hilarious send-up of boy bands, teen movies and dance movies, the audience gets a guarantee of something that will make you laugh -- whether it’s mom remembering the days of NSYNC, or little Lisa fantasizing about the Biebs, or your sexually-ambiguous nephew who thinks Channing rocks a sailor suit! Our story follows Brad, a jock who decides he's more than just a meathead women pine for, so he joins the dance club, a rap group, metal mania and more, before creating the perfect boy band with the help of the local Zen master. Watch out, high school will never be the same!",2010-06-04
Never Land,Never Land,"Aimee Dent had to grow up fast. She is raising her little brother all on her own. But her life is changed forever when she meets a teenage boy who gives her a taste of what it's like to be a kid again. However, Aimee soon finds out that the boy, Peter, isn't everything he appears to be or as young. She learns that Peter will never be able to grow up, because he's a vampire.",2010-09-09
